id,link,brand,name,variant,sold_out,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,display,display_centered,weight,weight_diff_pct,battery,screen_type,graphic,graphic_centered,battery_time,battery_time_centered,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,lasust_update
8,https://www.coupang.com/vp/products/8642000420?itemId=25080090882&vendorItemId=92084007696,asus,"Á¨ºÏ s14, u7 258v",1,,175,,,u7 258v,32,onaboard,2,1,14,8,8,8,1.798913043,120,-10.80719489,72,oled,7,1.72826087,9.93,2.867717391,7.25,1.25,6,ÄíÆÎ,0,0,0,,
9,https://www.coupang.com/vp/products/8544270516,asus,"Á¨ºÏ s16, u7 258v",1,,190,,,u7 258v,32,onaboard,4,1,16,8,8,8,1.798913043,150,-13.04347826,78,oled,7,1.72826087,9.75,2.687717391,8,2,6,ÄíÆÎ,0,0,0,,
10,https://www.coupang.com/vp/products/8641990955,asus,"Á¨ºÏ s16, u7 258v",2,,190,,,u7 258v,32,onaboard,4,1,16,8,8,8,1.798913043,150,-13.04347826,78,oled,7,1.72826087,9.75,2.687717391,8,2,6,ÄíÆÎ,0,0,0,,
84,https://www.coupang.com/vp/products/8620630703?itemId=25010066108&vendorItemId=92015050332,hp,"³ëÆ®ºÏ 14, i5 1334u",1,,40,,,i5 1334u,8,single,1,0,14,3,3,3,-3.201086957,140,4.058272633,41,ips,3,-2.27173913,4.32,-2.742282609,9.5,0,9.5,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
73,https://www.coupang.com/vp/products/8099175514,hp,"³ëÆ®ºÏ 15, r5 7430u",1,,42,,,r5 7430u,8,single,1,0,15.6,3,3,3,-3.201086957,159,-3.582603634,41,ips,3,-2.27173913,4.21,-2.852282609,9.75,0.75,9,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
90,https://www.coupang.com/vp/products/8721859542,hp,"³ëÆ®ºÏ 17, i3 1215u",1,,43,,,i3 1215u,8,dual,1,1,17.3,3,3,3,-3.201086957,238,20.7055697,41,ips,2,-3.27173913,3.64,-3.422282609,11.25,0.75,10.5,ÄíÆÎ,0,0,0,,
88,https://www.coupang.com/vp/products/8648574647?itemId=25102068021&vendorItemId=92104783093,hp,"¿È´ÏºÏ 3 14, i3 1315u",1,,40,,,i3 1315u,8,dual,1,1,14,3,3,3,-3.201086957,140,4.058272633,41,ips,3,-2.27173913,4.32,-2.742282609,9.5,0,9.5,ÄíÆÎ,0,0,0,,
86,https://www.coupang.com/vp/products/8648574647?itemId=25102068022&vendorItemId=92104783099,hp,"¿È´ÏºÏ 3 14, i3 1315u",1,,48,,,i3 1315u,16,dual,2,1,14,3,3,3,-3.201086957,140,4.058272633,41,ips,3,-2.27173913,4.32,-2.742282609,9.5,0,9.5,ÄíÆÎ,0,0,0,,
51,https://www.coupang.com/vp/products/8785877887?itemId=25566791886&vendorItemId=92557979714,hp,"¿È´ÏºÏ 3 15.6, r7 340",1,,68,,,r7 340,16,dual,1,1,15.6,3,3,3,-3.201086957,170,3.087782279,41,ips,4,-1.27173913,4.69,-2.372282609,8.75,0.75,8,ÄíÆÎ,0,0,0,,
51,https://www.coupang.com/vp/products/8785877887?itemId=25566791886&vendorItemId=92557979714,hp,"¿È´ÏºÏ 3 15.6, r7 350",1,,75,,,r7 350,16,dual,1,1,15.6,3,3,3,-3.201086957,170,3.087782279,41,ips,6,0.72826087,4.69,-2.372282609,8.75,0.75,8,ÄíÆÎ,0,0,0,,
65,https://www.coupang.com/vp/products/8847458166?itemId=25789395906&vendorItemId=92777182389,hp,"¿È´ÏºÏ 5 16, r5 8540u",1,,63,,,r5 8540u,16,onboard,2,1,16,3,5,4,-2.201086957,179,3.768115942,59,ips,5,-0.27173913,6.56,-0.502282609,9,0.75,8.25,ÄíÆÎ,0,0,0,,
45,https://www.coupang.com/vp/products/8847458161?itemId=25789395889&vendorItemId=92777182376,hp,"¿È´ÏºÏ 5 16, r7 8840u",1,,69,,,r7 8840u,16,onboard,2,1,16,3,5,4,-2.201086957,179,3.768115942,59,ips,7,1.72826087,6.56,-0.502282609,9,0.75,8.25,ÄíÆÎ,0,0,0,,
13,https://www.coupang.com/vp/products/8952675279?itemId=26188749438&vendorItemId=93168174673,hp,"¿È´ÏºÏ 5 16, u7 255u",1,,83,,,u7 255u,32,onboard,2,1,16,3,5,4,-2.201086957,177,2.608695652,59,ips,7,1.72826087,7.15,0.087717391,8.25,0.75,7.5,ÄíÆÎ,0,0,0,,
76,https://www.coupang.com/vp/products/8740557641?itemId=25402248933&vendorItemId=92395806929,hp,"¿È´ÏºÏ 5 nagi 16, r5 340",1,,73,,,r5 340,16,onboard,2,1,16,3,5,4,-2.201086957,179,3.768115942,43,ips,4,-1.27173913,4.91,-2.152282609,8.75,0.75,8,ÄíÆÎ,0,0,0,,
78,https://www.coupang.com/vp/products/8734683667,hp,"¿È´ÏºÏ 7 ¿¡¾î·Î 13, r5 340",1,,100,,,r5 340,16,onboard,2,1,13.3,6,7,6.5,0.298913043,99,-18.35320897,43,ips,4,-1.27173913,4.91,-2.152282609,8.75,0.75,8,ÄíÆÎ,0,0,0,,
62,https://www.coupang.com/vp/products/9126828332,hp,"¿È´ÏºÏ 7 ¿¡¾î·Î 13, r5 8640u",1,,87,,,r5 8640u,16,onboard,1,0,13.3,6,5,5.5,-0.701086957,99,-18.35320897,43,ips,5,-0.27173913,5.21,-1.852282609,8.25,0,8.25,ÄíÆÎ,0,0,0,,
