id,link,brand,name,variant,sold_out,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,display,display_centered,weight,weight_diff_pct,battery,screen_type,graphic,graphic_centered,battery_time,battery_time_centered,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,lasust_update
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
53,https://www.coupang.com/vp/products/8743114968?itemId=25409271495&vendorItemId=92402704438,hp,"¿È´ÏºÏ 7 ¿¡¾î·Î 13, r7 350",1,,125,,,r7 350,32,onboard,512,1,13,6,6,6,-0.201086957,99,-14.33021807,43,ips,6,0.72826087,5.38,-1.682282609,8,0,8,ÄíÆÎ,0,0,0,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
60,https://www.coupang.com/vp/products/8688208941?itemId=25224312267&vendorItemId=92220619670,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, r7 340 oled",1,,120,,,r5 340,16,onboard,512,1,14,8,8,8,1.798913043,141,4.801546009,59,oled,4,-1.27173913,6.38,-0.682282609,9.25,1.25,8,ÄíÆÎ,1,0,1,,
23,https://www.coupang.com/vp/products/8847574516?itemId=25515379290&vendorItemId=92507314479,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, u5 226v ips",1,,100,,,u5 226v,16,onboard,512,1,14,3,5,4,-2.201086957,139,3.314999257,59,ips,6,0.72826087,9.83,2.767717391,6,0,6,ÄíÆÎ,1,0,1,,
26,https://www.coupang.com/vp/products/8734831107?itemId=25383774207&vendorItemId=92377682363,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, u5 226v oled",1,,130,,,u5 226v,16,onboard,512,1,14,8,8,8,1.798913043,139,3.314999257,59,oled,6,0.72826087,8.14,1.077717391,7.25,1.25,6,ÄíÆÎ,1,0,1,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
5,https://www.coupang.com/vp/products/8829827803?itemId=25383774406&vendorItemId=92377682706,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, u7 258v oled",1,,150,,,u7 258v,32,onboard,512,1,14,8,8,8,1.798913043,139,3.314999257,59,oled,7,1.72826087,8.14,1.077717391,7.25,1.25,6,ÄíÆÎ,1,0,1,,
27,https://www.coupang.com/vp/products/8565613980?itemId=24810120311&vendorItemId=92229848441,hp,"¿È´ÏºÏ ¿ïÆ®¶ó ÇÃ¸³ 14, u5 226v",1,,165,,,u5 226v,16,onboard,1024,1,14,8,8,8,1.798913043,135,0.341905753,64,oled,6,0.72826087,8.83,1.767717391,7.25,1.25,6,ÄíÆÎ,1,0,3,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
6,https://www.coupang.com/vp/products/8398992443?itemId=24277916398&vendorItemId=91294313138,hp,"¿È´ÏºÏ ¿ïÆ®¶ó ÇÃ¸³ 14, u7 258v",1,,190,,,u7 258v,32,onboard,1024,1,14,8,8,8,1.798913043,135,0.341905753,64,oled,7,1.72826087,8.83,1.767717391,7.25,1.25,6,ÄíÆÎ,1,0,3,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
81,https://www.coupang.com/vp/products/9088545835?itemId=26706196132&vendorItemId=93677980039,lenovo,"V15 G4 AMN, r3 7320u",1,,37,,,r3 7320u,16,onboard,256,0,15.6,3,3,3,-3.201086957,163,-1.157008756,47,ips,2,-3.27173913,4.18,-2.882282609,11.25,0.75,10.5,ÄíÆÎ,0,0,0,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
66,https://www.coupang.com/vp/products/8680039848?itemId=25197742104&vendorItemId=92194389018,lenovo,"¾ÅÅ©ºÏ 14arp G7 R5, r5 7535hs",1,,60,,,r5 7535hs,16,single,512,0,14,6,5,5.5,-0.701086957,138,2.571725881,60,ips,4,-1.27173913,6.32,-0.742282609,9.5,0,9.5,ÄíÆÎ,0,0,0,,
