id,link,brand,name,remark,variant,sold_out,on_crawl,is_active,price_reference,price_current,discount_rate,cpu,gpu,ram,ram_type,ssd,window,screen_size,screen_type,portability,display,cpu_style,weight,battery,Unnamed: 25,market,lasust_update,last_update,benefit_count
,https://www.coupang.com/vp/products/8677554106?itemid=25190830588&vendoritemid=92187575667,hp,"빅터스 16, i5 14450HX/4060",,,,1.0,1.0,130.0,130.107,0.1,i5 14450HX,4060,16.0,dual,512.0,0.0,14.0,,3.0,4.0,1.0,,,,쿠팡,,2026-04-12 05:26,4.0
,https://www.coupang.com/vp/products/9325824364?itemid=27736313139&vendoritemid=94697490099,hp,"오멘 15, i5 14450HX/5060",,,,1.0,1.0,180.0,185.207,2.9,i5 14450HX,5060,24.0,single,1024.0,0.0,14.0,,4.0,6.0,1.0,,,,쿠팡,,2026-04-12 05:32,6.0
,https://www.coupang.com/vp/products/8826112134?itemid=25719163101&vendoritemid=92707939317,hp,"오멘 16, R7 350/5060",,,,1.0,1.0,200.0,185.0,-7.5,R7 350,5060,32.0,dual,512.0,0.0,16.0,,3.0,7.0,0.0,,,,쿠팡,,2026-04-12 05:38,4.0
,https://www.coupang.com/vp/products/8837462423?itemid=25754178542&vendoritemid=92742426422,hp,"오멘 16, R9 8940HX/5060",,,,1.0,1.0,200.0,194.9,-2.5,R9 8940HX,5060,32.0,dual,1024.0,0.0,16.0,,3.0,7.0,1.0,,,,쿠팡,,2026-04-12 05:46,4.0
,https://www.coupang.com/vp/products/9277699361?itemid=27465445395&vendoritemid=94430699317,hp,"오멘 16, U7 255H/5060",,,,1.0,1.0,185.0,174.9,-5.5,U7 255H,5060,24.0,single,1024.0,0.0,16.0,,3.0,7.0,0.0,,,,쿠팡,,2026-04-12 05:55,4.0
,https://www.coupang.com/vp/products/8941557079?itemid=26148695560&vendoritemid=93128696273,hp,"오멘 17, R7 350/5060",,,,1.0,1.0,210.0,229.9,9.5,R7 350,5060,32.0,dual,512.0,0.0,17.3,,1.0,7.0,0.0,,,,쿠팡,,2026-04-12 06:02,0.0
,https://www.coupang.com/vp/products/8771136679?itemid=25513329531&vendoritemid=92505305899,hp,"오멘 맥스 16, R7 350/5070 Ti",,,,1.0,1.0,280.0,314.0,12.1,R7 350,5070 Ti,32.0,dual,1024.0,1.0,16.0,,1.0,7.0,0.0,,,,쿠팡,,2026-04-12 06:08,6.0
,https://www.coupang.com/vp/products/8826133206?itemid=25719248433&vendoritemid=92708022379,hp,"오멘 맥스 16, R9 375HX/5060",,,2.0,1.0,1.0,230.0,,,R9 375HX,5060,32.0,dual,512.0,1.0,16.0,,2.0,7.0,0.0,,,,쿠팡,,,
,https://www.coupang.com/vp/products/8763580498?itemid=25484221675&vendoritemid=92476480219,hp,"오멘 맥스 16, R9 375HX/5080",,,,1.0,1.0,450.0,394.0,-12.4,R9 375HX,5080,32.0,dual,1024.0,1.0,16.0,,1.0,7.0,0.0,,,,쿠팡,,2026-04-12 06:39,4.0
,https://www.coupang.com/vp/products/8966522013?itemid=26241074138&vendoritemid=93219739755,hp,"오멘 맥스 16, U7 255HX/5060 OLED",,,,1.0,1.0,250.0,356.9,42.8,U7 255HX,5060,32.0,dual,1024.0,1.0,16.0,,2.0,9.0,1.0,,,,쿠팡,,2026-04-12 06:43,0.0
,https://www.coupang.com/vp/products/8758944787?itemid=25467752802&vendoritemid=92460264359,hp,"오멘 맥스 16, U9 275HX/5070",,,,1.0,1.0,255.0,351.178,37.7,U9 275HX,5070,32.0,dual,1024.0,1.0,16.0,,2.0,7.0,1.0,,,,쿠팡,,2026-04-12 06:49,6.0
,https://www.coupang.com/vp/products/8771223830?itemid=25513732236&vendoritemid=92505701532,hp,"오멘 맥스 16, U9 275HX/5070 Ti",,,,1.0,1.0,320.0,340.9,6.5,U9 275HX,5070 Ti,32.0,dual,1024.0,1.0,16.0,,1.0,7.0,1.0,,,,쿠팡,,2026-04-12 06:56,4.0
,https://www.coupang.com/vp/products/9018633339?itemid=26440741094&vendoritemid=93416362417,lenovo,"LOQ 15Ahp10, R7 250/5060",,,,1.0,1.0,140.0,148.9,6.4,R7 250,5060,16.0,single,512.0,0.0,15.6,,2.0,3.0,0.0,,,,쿠팡,,2026-04-12 07:04,4.0
,https://www.coupang.com/vp/products/8960448289,lenovo,"리전 5 15Ahp10, R7 260/5060",,,,1.0,1.0,178.0,199.9,12.3,R7 260,5060,24.0,single,512.0,0.0,15.1,,6.0,8.0,0.0,,,,쿠팡,,2026-04-12 07:10,0.0
,https://www.coupang.com/vp/products/9018648022,lenovo,"리전 5 15AKP10, R7 350/5070",,,,1.0,1.0,225.0,330.0,46.7,R7 350,5070,32.0,dual,1024.0,0.0,15.1,,6.0,8.0,0.0,,,,쿠팡,,2026-04-12 07:17,0.0
,https://www.coupang.com/vp/products/8935925393?itemid=25890522454&vendoritemid=92876444744,lenovo,"리전 7 16IAX10, U9 275HX/5070",,,,1.0,1.0,330.0,419.98,27.3,U9 275HX,5070,32.0,dual,1024.0,0.0,16.0,,7.0,9.0,1.0,,,,쿠팡,,2026-04-12 07:23,0.0
,https://www.coupang.com/vp/products/8836980191?itemid=25752060438&vendoritemid=92740350838,lenovo,"리전 프로 5 16IAX10, U9 275HX/5070",,,,1.0,1.0,245.0,309.9,26.5,U9 275HX,5070,32.0,dual,1024.0,0.0,16.0,,3.0,8.0,1.0,243.0,80.0,,쿠팡,,2026-04-12 07:28,0.0
,https://www.coupang.com/vp/products/8873266044?itemid=25890522816&vendoritemid=92876445013,lenovo,"리전 프로 5 16IAX10, U9 275HX/5070 Ti",,,,1.0,1.0,310.0,334.9,8.0,U9 275HX,5070 Ti,32.0,dual,1024.0,0.0,16.0,,3.0,9.0,1.0,243.0,80.0,,쿠팡,,2026-04-12 07:34,4.0
