id,link,brand,name,variant,remark,sold_out,not_selling,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,display,weight,battery,screen_type,graphic,w_per_h,market,lasust_update,battery_time,battery_time_centered,display_centered,weight_diff_pct,graphic_centered,last_update
32,https://www.coupang.com/vp/products/8398992443?itemId=24277916398&vendorItemId=91294313138,hp,"옴니북 울트라 플립 14, u7 258v",1,,2.0,0,203,,,u7 258v,32,onboard,1024,1,14.0,8.0,135,64,oled,8,7.25,쿠팡,,8.827586207,1.388465578,1.474683544,2.661596958,2.075949367,
44,https://www.coupang.com/vp/products/8956936394?itemId=26207071340&vendorItemId=93186207320,lenovo,"아이디어패드 슬림3 15iru8, i3 1315u",1,,1.0,0,42,51.9,,i3 1315u,8,onboard,512,0,15.6,3.0,162,45,ips,3,10.25,쿠팡,,4.390243902,-3.048876726,-3.525316456,1.822752986,-2.924050633,2026-03-21 05:39
34,https://www.coupang.com/vp/products/9128738400?itemId=26858501933&vendorItemId=93828215044,lenovo,"V15 G5 IRL, i5 13420H",1,,,0,56,56.9,1.6,i5 13420h,16,onboard,256,0,15.6,3.0,161,47,ips,2,10.5,쿠팡,,4.476190476,-2.962930152,-3.525316456,1.194217473,-3.924050633,2026-03-21 05:44
33,https://www.coupang.com/vp/products/9088545835?itemId=26706196132&vendorItemId=93677980039,lenovo,"V15 G4 AMN, r3 7320u",1,,1.0,0,39,51.9,,r3 7320u,16,onboard,256,0,15.6,3.0,163,47,ips,1,11.25,쿠팡,,4.177777778,-3.261342851,-3.525316456,2.451288498,-4.924050633,2026-03-21 05:50
45,https://www.coupang.com/vp/products/8849748058,lenovo,"아이디어패드 슬림5 14akp10, r5 340",1,,,0,112,166.47,48.6,r5 340,24,dual,512,1,14.0,6.5,139,60,oled,5,8.5,쿠팡,,7.058823529,-0.380297099,-0.025316456,5.703422053,-0.924050633,2026-03-21 05:55
48,https://www.coupang.com/vp/products/8898526670?itemId=26840804658&vendorItemId=93810725946,lenovo,"아이디어패드 슬림5 16akp10, r5 340",1,,1.0,0,120,161.875,,r5 340,24,dual,512,0,16.0,8.0,169,60,oled,5,10.0,쿠팡,,6.0,-1.439120629,1.474683544,1.807228916,-0.924050633,2026-03-21 06:00
46,https://www.coupang.com/vp/products/8660625625,lenovo,"아이디어패드 슬림5 14akp10, r7 350",1,,,0,126,186.15,47.7,r7 350,32,dual,512,1,14.0,6.5,139,60,oled,7,8.5,쿠팡,,7.058823529,-0.380297099,-0.025316456,5.703422053,1.075949367,2026-03-21 06:06
52,https://www.coupang.com/vp/products/8847714479?itemId=25737737037&vendorItemId=92733954991,lenovo,"아이디어패드 슬림5 2in1 16akp10, r7 350",1,,,0,133,132.905,-0.1,r7 350,16,onboard,512,1,16.0,7.0,190,57,oled,7,10.0,쿠팡,,5.7,-1.739120629,0.474683544,14.45783133,1.075949367,2026-03-21 06:11
43,https://www.coupang.com/vp/products/8789578488?itemId=25368988626&vendorItemId=92363162957,lenovo,"아이디어패드 슬림3 15arp10 oled, r5 7533hs",1,램 장착 권장,,0,72,66.96,-7.0,r5 7533hs,8,single,256,1,15.1,8.0,151,60,oled,5,11.5,쿠팡,,5.217391304,-2.221729324,1.474683544,0.348895165,-0.924050633,2026-03-21 06:16
35,https://www.coupang.com/vp/products/8680039848?itemId=25197742104&vendorItemId=92194389018,lenovo,"씽크북 14arp G7 R5, r5 7535hs",1,,1.0,0,64,84.718,,r5 7535hs,16,single,512,0,14.0,6.0,150,60,ips,5,9.5,쿠팡,,6.315789474,-1.123331155,-0.525316456,14.06844106,-0.924050633,2026-03-21 06:22
37,https://www.coupang.com/vp/products/8201783041?itemId=23513749012&vendorItemId=90540144557,lenovo,"씽크북 16arp G7 R5, r5 7535hs",1,,,0,69,79.9,15.8,r5 7535hs,16,single,512,1,16.0,6.0,180,70,ips,5,10.25,쿠팡,,6.829268293,-0.609852336,-0.525316456,8.43373494,-0.924050633,2026-03-21 06:28
40,https://www.coupang.com/vp/products/8730924757?itemId=25369154828&vendorItemId=92363325594,lenovo,"아이디어패드 슬림3 14ahp10 oled, r5 8640hs",1,램 장착 권장,,0,69,63.99,-7.3,r5 8640hs,8,single,256,0,14.0,6.5,133,60,oled,6,9.25,쿠팡,,6.486486486,-0.952634142,-0.025316456,1.140684411,0.075949367,2026-03-21 06:34
41,https://www.coupang.com/vp/products/8743086948?itemId=25409162113&vendorItemId=92402597630,lenovo,"아이디어패드 슬림3 15ahp10 oled, r5 8640hs",1,램 장착 권장,,0,80,70.83,-11.5,r5 8640hs,8,single,256,0,15.1,8.0,151,60,oled,6,10.75,쿠팡,,5.581395349,-1.85772528,1.474683544,0.348895165,0.075949367,2026-03-21 06:39
42,https://www.coupang.com/vp/products/9251257445?itemId=27363809908&vendorItemId=94329842260,lenovo,"아이디어패드 슬림3 15ahp10, r5 8640hs",1,램 장착 권장,,0,69,71.0091,2.9,r5 8640hs,16,dual,256,0,15.3,4.0,163,60,ips,6,10.25,쿠팡,,5.853658537,-1.585462092,-2.525316456,5.895728439,0.075949367,2026-03-21 06:44
49,https://www.coupang.com/vp/products/8670201542,lenovo,"아이디어패드 슬림5 16akp10, r7 350",1,,,0,125,210.62,68.5,r7 350,32,dual,512,1,16.0,8.0,169,60,oled,7,10.0,쿠팡,,6.0,-1.439120629,1.474683544,1.807228916,1.075949367,2026-03-21 06:49
36,https://www.coupang.com/vp/products/8146665286?itemId=23167065497&vendorItemId=90199849499,lenovo,"씽크북 14arp G7 R7, r7 7735hs",1,,,0,74,89.9,21.5,r7 7735hs,16,single,512,0,14.0,6.0,150,60,ips,5,9.5,쿠팡,,6.315789474,-1.123331155,-0.525316456,14.06844106,-0.924050633,2026-03-21 06:55
38,https://www.coupang.com/vp/products/8201783041?itemId=24949700717&vendorItemId=91955595467,lenovo,"씽크북 16arp G7 R7, r7 7735hs",1,,,0,80,105.9,32.4,r7 7735hs,16,single,512,0,16.0,6.0,180,70,ips,5,10.25,쿠팡,,6.829268293,-0.609852336,-0.525316456,8.43373494,-0.924050633,2026-03-21 07:00
39,https://www.coupang.com/vp/products/8760943054?itemId=25474839711&vendorItemId=92467262961,lenovo,"씽크북 16ial g8 u5 3K, u5 225h",1,,,0,123,146.9,19.4,u5 225h,16,single,1024,0,16.0,7.0,180,71,ips,7,9.5,쿠팡,,7.473684211,0.034563582,0.474683544,8.43373494,1.075949367,2026-03-21 07:06
47,https://www.coupang.com/vp/products/8898341424,lenovo,"아이디어패드 슬림5 14iah10, u5 225h",1,,,0,107,111.145,3.9,u5 225h,24,dual,512,0,14.0,6.5,139,60,oled,7,8.5,쿠팡,,7.058823529,-0.380297099,-0.025316456,5.703422053,1.075949367,2026-03-21 07:11
50,https://www.coupang.com/vp/products/8883152949,lenovo,"아이디어패드 슬림5 16iah10, u5 225h",1,,,0,115,163.33,42.0,u5 225h,24,dual,512,0,16.0,8.0,169,60,oled,7,10.0,쿠팡,,6.0,-1.439120629,1.474683544,1.807228916,1.075949367,2026-03-21 07:16
53,https://www.coupang.com/vp/products/8673080963?itemId=25177237369&vendorItemId=92174218910,lenovo,"요가 7 2in1 14ill10, u5 228v",1,"그레이, 512GB",,0,160,153.87,-3.8,u5 228v,32,onboard,512,1,14.0,8.0,138,70,oled,7,7.25,쿠팡,,9.655172414,2.216051785,1.474683544,4.942965779,1.075949367,2026-03-21 07:21
54,https://www.coupang.com/vp/products/8673080963?itemId=25177237372&vendorItemId=92174218945,lenovo,"요가 7 2in1 14ill10, u5 228v",2,"씨쉘, 1TB",,0,168,143.46,-14.6,u5 228v,32,onboard,1024,1,14.0,8.0,138,70,oled,7,7.25,쿠팡,,9.655172414,2.216051785,1.474683544,4.942965779,1.075949367,2026-03-21 07:27
57,https://www.coupang.com/vp/products/8670590507?itemId=25169885850&vendorItemId=92167265171,lenovo,"요가 슬림7 14ill10, u5 228v",1,,,0,165,168.0,1.8,u5 228v,32,onboard,1024,1,14.0,8.0,119,70,oled,7,7.25,쿠팡,,9.655172414,2.216051785,1.474683544,-9.505703422,1.075949367,2026-03-21 07:32
55,https://www.coupang.com/vp/products/8673080960?itemId=25177237363&vendorItemId=92174218920,lenovo,"요가 7 2in1 14ill10, u7 258v",1,"씨쉘, 512GB",,0,170,172.0,1.2,u7 258v,32,onboard,512,1,14.0,8.0,138,70,oled,8,7.25,쿠팡,,9.655172414,2.216051785,1.474683544,4.942965779,2.075949367,2026-03-21 07:37
56,https://www.coupang.com/vp/products/8673080960?itemId=25177237359&vendorItemId=92174218896,lenovo,"요가 7 2in1 14ill10, u7 258v",2,"그레이, 1TB",,0,178,159.84,-10.2,u7 258v,32,onboard,1024,1,14.0,8.0,138,70,oled,8,7.25,쿠팡,,9.655172414,2.216051785,1.474683544,4.942965779,2.075949367,2026-03-21 07:43
60,https://www.coupang.com/vp/products/7955896989?itemId=21980916755&vendorItemId=89028561695,lenovo,"요가북  9i 13imu9, u7 155u",1,,,0,235,254.9,8.5,u7 155u,32,onboard,1024,1,13.3,8.0,134,80,oled,4,9.5,쿠팡,,8.421052632,0.981932003,1.474683544,12.20431233,-1.924050633,2026-03-21 07:48
51,https://www.coupang.com/vp/products/8883267474,lenovo,"아이디어패드 슬림5 16iah10, u7 255h",1,,,0,125,134.9,7.9,u7 255h,24,dual,512,0,16.0,8.0,169,60,oled,8,10.0,쿠팡,,6.0,-1.439120629,1.474683544,1.807228916,2.075949367,2026-03-21 07:53
58,https://www.coupang.com/vp/products/8670590493?itemId=25169885815&vendorItemId=92167265169,lenovo,"요가 슬림7 14ill10, u7 258v",1,,,0,176,171.9,-2.3,u7 258v,32,onboard,512,1,14.0,8.0,119,70,oled,8,7.25,쿠팡,,9.655172414,2.216051785,1.474683544,-9.505703422,2.075949367,2026-03-21 07:59
59,https://www.coupang.com/vp/products/8408971036?itemId=24311993053&vendorItemId=91327841194,lenovo,"요가 슬림7 15ill9, u7 258v",1,,,0,187,195.2,4.4,u7 258v,32,onboard,1024,1,15.3,7.5,153,70,ips,8,7.5,쿠팡,,9.333333333,1.894212705,0.974683544,-0.600942017,2.075949367,2026-03-21 08:04
68,https://www.coupang.com/vp/products/8518435229?itemId=24662380297&vendorItemId=91672792964,lg,"그램 14, u5 225h",1,,1.0,0,139,178.9,,u5 225h,16,onboard,256,1,14.0,6.0,112,72,ips,7,8.0,쿠팡,,9.0,1.560879371,-0.525316456,-14.82889734,1.075949367,2026-03-21 08:09
69,https://www.coupang.com/vp/products/8518435238?itemId=24662380338&vendorItemId=91672792997,lg,"그램프로 16, u5 225h",1,,,0,176,206.0,17.0,u5 225h,16,onboard,256,1,16.0,7.5,120,77,ips,7,9.5,쿠팡,,8.105263158,0.666142529,0.974683544,-27.71084337,1.075949367,2026-03-21 08:15
72,https://www.coupang.com/vp/products/8518435232?itemId=24662380325&vendorItemId=91672792975,lg,"그램프로 17, u5 225h",1,,,0,187,194.9,4.2,u5 225h,16,onboard,256,1,17.0,7.5,139,77,ips,7,9.5,쿠팡,,8.105263158,0.666142529,0.974683544,-24.1473397,1.075949367,2026-03-21 08:20
73,https://www.coupang.com/vp/products/8518435234?itemId=24662380327&vendorItemId=91672792982,lg,"그램프로 360 16, u5 225h",1,,,0,176,183.21,4.1,u5 225h,16,onboard,256,1,16.0,7.5,140,77,ips,7,9.5,쿠팡,,8.105263158,0.666142529,0.974683544,-15.6626506,1.075949367,2026-03-21 08:25
70,https://www.coupang.com/vp/products/9254540118?itemId=27375892893&vendorItemId=94341788006,lg,"그램프로 16, u5 226v",1,프리도스,,0,181,159.705,-11.8,u5 226v,16,onboard,256,0,16.0,7.5,120,77,ips,7,7.5,쿠팡,,10.26666667,2.827546038,0.974683544,-27.71084337,1.075949367,2026-03-21 08:31
71,https://www.coupang.com/vp/products/9254540118?itemId=27375892891&vendorItemId=94341788005,lg,"그램프로 16, u5 226v",1,윈도우 포함,,0,181,166.905,-7.8,u5 226v,16,onboard,256,1,16.0,7.5,120,77,ips,7,7.5,쿠팡,,10.26666667,2.827546038,0.974683544,-27.71084337,1.075949367,2026-03-21 08:36
74,https://www.coupang.com/vp/products/8826291800?itemId=25753343478&vendorItemId=92741604174,microsoft,"[ARM] 서피스 랩탑 13, x1p-46",1,,,0,110,119.0,8.2,x1p-46,16,onboard,256,1,13.0,6.0,124,48,ips,3,5.5,쿠팡,,8.727272727,1.288152099,-0.525316456,8.533916849,-2.924050633,2026-03-21 08:41
75,https://www.coupang.com/vp/products/8665657438?itemId=23498375950&vendorItemId=90524823846,microsoft,"[ARM] 서피스 랩탑 13.8, x1p-64",1,,,0,150,169.0,12.7,x1p-64,16,onboard,512,1,13.8,7.0,134,54,ips,3,5.5,쿠팡,,9.818181818,2.37906119,0.474683544,4.646622413,-2.924050633,2026-03-21 08:46
