id,link,brand,name,variant,sold_out,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,weight,battery,screen_type,graphic,battery_time,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,last_update
70,https://www.coupang.com/vp/products/8789578488,le,"아이디어패드 슬림3 15arp10 oled, r5 7533hs",2,,680000,797050,17.2,r5 7533hs,8,single,1,1,15.1,8,8,151,60,oled,4,5.22,11.5,2,9.5,쿠팡,0,0,0,램 장착 권장,2026-03-07 12:40
82,https://www.coupang.com/vp/products/8814642136?itemId=25682243168&vendorItemId=92671562598,as,"비보북 s16, i5 13420h",1,,770000,908300,18,i5 13420h,16,single,2,1,16,8,5,170,70,oled,2,5.96,11.75,1.25,10.5,쿠팡,0,0,0,,2026-03-07 9:29
11,https://www.coupang.com/vp/products/9089345677,ac,"스위프트 엣지 14, u7 258v",1,,1750000,2100000,20,u7 258v,32,onboard,2,1,14,9,8,99,65,oled,7,8.97,7.25,1.25,6,쿠팡,0,0,0,,2026-03-07 8:55
35,https://www.coupang.com/vp/products/8760943054,le,"씽크북 16ial g8 u5 3K, u5 225h",1,,1150000,1384930,20.4,u5 225h,32,single,4,0,16,6,8,170,71,ips,6,7.47,9.5,1.5,8,쿠팡,0,0,0,,2026-03-07 12:21
15,https://www.coupang.com/vp/products/8539448432?itemId=24722655866&vendorItemId=91731863931,as,"젠북 14, u7 255h",1,,1230000,1501030,22,u7 255h,16,onaboard,2,1,14,8,8,128,75,oled,7,8.11,9.25,1.25,8,쿠팡,0,0,0,,2026-03-07 9:47
49,https://www.coupang.com/vp/products/8633389205?itemId=25048205481&vendorItemId=92052723728,as,"비보북 15, r7 5825u",1,,450000,551380,22.5,r7 5825u,8,single,2,0,15.6,2,3,170,42,ips,3,4.31,9.75,0.75,9,쿠팡,0,0,0,램 장착 권장,2026-03-07 9:13
67,https://www.coupang.com/vp/products/8201783041,le,"씽크북 16arp G7 R5, r5 7535hs",1,,650000,799000,22.9,r5 7535hs,16,single,2,1,16,6,5,180,70,ips,4,6.83,10.25,0.75,9.5,쿠팡,0,0,0,,2026-03-07 12:09
59,https://www.coupang.com/vp/products/8721859355?itemId=25335208306&vendorItemId=92329958394,hp,"옴니북 x 플립 14, r7 340 ips",1,,900000,1129000,25.4,r5 340,16,onboard,2,1,14,3,5,141,59,ips,4,7.38,8,0,8,쿠팡,1,0,1,,2026-03-07 11:10
30,https://www.coupang.com/vp/products/8593723288?itemId=24917488765&vendorItemId=91923824133,as,"비보북 16, u5 225h",1,,700000,891780,27.4,u5 225h,16,dual,2,1,16,3,5,189,42,ips,6,4.8,8.75,0.75,8,쿠팡,0,0,0,,2026-03-07 9:21
79,https://www.coupang.com/vp/products/8869135849,ac,"스위프트 고 16, r5 340",1,,1220000,1599800,31.1,r5 340,16,onboard,4,1,16,8,8,150,75,oled,4,7.5,10,2,8,쿠팡,0,0,0,,2026-03-07 8:47
