id,link,brand,name,variant,price_reference,price_current,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,weight,battery,screen_type,graphic,battery_time,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,last_update,sold_out
27.0,https://www.coupang.com/vp/products/8565613980?itemId=24810120311&vendorItemId=92229848441,hp,"옴니북 울트라 플립 14, u5 226v",1,1650000,2159000.0,u5 226v,16,onboard,4,1,14.0,8,8,135,64,oled,6,8.83,7.25,1.25,6.0,쿠팡,1,0,3.0,,2026-02-26 08:34,
1.0,https://www.coupang.com/vp/products/8500861707?itemId=24607850297&vendorItemId=91619213519,hp,"옴니북 울트라 플립 14, u9 288v",1,1900000,2370000.0,u9 288v,32,onboard,4,1,14.0,8,8,135,64,oled,7,8.83,7.25,1.25,6.0,쿠팡,1,0,3.0,,2026-02-26 08:42,
6.0,https://www.coupang.com/vp/products/8398992443?itemId=24277916398&vendorItemId=91294313138,hp,"옴니북 울트라 플립 14, u7 258v",1,1900000,2123790.0,u7 258v,32,onboard,4,1,14.0,8,8,135,64,oled,7,8.83,7.25,1.25,6.0,쿠팡,1,0,3.0,,2026-02-26 08:51,
71.0,https://www.coupang.com/vp/products/8678555728,hp ,"프로북 455 G10, r5 7530u",1,480000,759000.0,r5 7530u,8,single,2,0,15.6,3,3,177,51,ips,3,5.23,9.75,0.75,9.0,쿠팡,0,0,0.0,램 장착 권장,2026-02-26 09:00,
81.0,https://www.coupang.com/vp/products/9088545835,le,"V15 G4 AMN, r3 7320u",1,370000,649000.0,r3 7320u,16,onboard,1,0,15.6,3,3,163,47,ips,2,4.18,11.25,0.75,10.5,쿠팡,0,0,0.0,,2026-02-26 09:08,
72.0,https://www.coupang.com/vp/products/9115855420,le,"V15 G4 AMN, r5 7520u",1,400000,719000.0,r5 7520u,16,onboard,1,0,15.6,3,3,163,47,ips,2,4.18,11.25,0.75,10.5,쿠팡,0,0,0.0,,2026-02-26 09:17,
66.0,https://www.coupang.com/vp/products/8680039848?itemId=25197742104&vendorItemId=92194389018,le,"씽크북 14arp G7 R5, r5 7535hs",1,600000,,r5 7535hs,16,single,2,0,14.0,6,5,138,60,ips,4,6.32,9.5,0.0,9.5,쿠팡,0,0,0.0,,a,1
46.0,https://www.coupang.com/vp/products/8146665286?itemId=23167065497&vendorItemId=90199849499,le,"씽크북 14arp G7 R7, r7 7735hs",1,700000,849000.0,r7 7735hs,16,single,2,0,14.0,6,5,138,60,ips,5,6.32,9.5,0.0,9.5,쿠팡,0,0,0.0,,2026-02-26 09:26,
67.0,https://www.coupang.com/vp/products/8201783041,le,"씽크북 16arp G7 R5, r5 7535hs",1,650000,899000.0,r5 7535hs,16,single,2,1,16.0,6,5,180,70,ips,4,6.83,10.25,0.75,9.5,쿠팡,0,0,0.0,,2026-02-26 09:35,
47.0,https://www.coupang.com/vp/products/8201783016,le,"씽크북 16arp G7 R7, r7 7735hs",1,750000,1339000.0,r7 7735hs,16,single,2,0,16.0,6,5,180,70,ips,5,6.83,10.25,0.75,9.5,쿠팡,0,0,0.0,,2026-02-26 09:44,
34.0,https://www.coupang.com/vp/products/8710227957,le,"씽크북 16ial g8 u5 3K, u5 225h",1,1000000,949000.0,u5 225h,16,single,2,0,16.0,6,8,170,71,ips,6,7.47,9.5,1.5,8.0,쿠팡,0,0,0.0,,2026-02-26 09:53,
35.0,https://www.coupang.com/vp/products/8760943054,le,"씽크북 16ial g8 u5 3K, u5 225h",1,1150000,1429000.0,u5 225h,32,single,4,0,16.0,6,8,170,71,ips,6,7.47,9.5,1.5,8.0,쿠팡,0,0,0.0,,2026-02-26 10:01,
63.0,https://www.coupang.com/vp/products/8730924757,le,"아이디어패드 슬림3 14ahp10 oled, r5 8640hs",1,650000,636000.0,r5 8640hs,8,single,1,0,14.0,8,5,133,60,oled,5,6.49,9.25,0.5,8.75,쿠팡,0,0,0.0,램 장착 권장,2026-02-26 10:11,
50.0,https://www.coupang.com/vp/products/8792314051?itemId=25592117166&vendorItemId=92582883311,le,"아이디어패드 슬림3 15ABR8, r7 5825u",1,580000,,r7 5825u,16,onboard,2,0,15.6,3,3,162,47,ips,3,4.82,9.75,0.75,9.0,쿠팡,0,0,0.0,,a,1
64.0,https://www.coupang.com/vp/products/8743086948,le,"아이디어패드 슬림3 15ahp10 oled, r5 8640hs",1,750000,799000.0,r5 8640hs,8,single,1,0,15.1,8,8,151,60,oled,5,5.58,10.75,2.0,8.75,쿠팡,0,0,0.0,램 장착 권장,2026-02-26 10:20,
69.0,https://www.coupang.com/vp/products/8789578488,le,"아이디어패드 슬림3 15arp10 oled, r5 7533hs",1,730000,839000.0,r5 7533hs,8,single,1,0,15.1,8,8,151,60,oled,4,5.22,11.5,2.0,9.5,쿠팡,0,0,0.0,램 장착 권장,2026-02-26 10:29,
70.0,https://www.coupang.com/vp/products/8789578488,le,"아이디어패드 슬림3 15arp10 oled, r5 7533hs",2,680000,839000.0,r5 7533hs,8,single,1,1,15.1,8,8,151,60,oled,4,5.22,11.5,2.0,9.5,쿠팡,0,0,0.0,램 장착 권장,2026-02-26 10:38,
68.0,https://www.coupang.com/vp/products/8700456792,le,"아이디어패드 슬림3 15arp10, r5 7533hs",1,550000,558000.0,r5 7533hs,8,single,1,0,15.3,3,5,163,60,ips,4,5.85,10.25,0.75,9.5,쿠팡,0,0,0.0,램 장착 권장,2026-02-26 10:47,
87.0,https://www.coupang.com/vp/products/8956936394?itemId=26207071340&vendorItemId=93186207320,le,"아이디어패드 슬림3 15iru8, i3 1315u",1,400000,455000.0,i3 1315u,8,onboard,2,0,15.6,3,3,162,45,ips,3,4.39,10.25,0.75,9.5,쿠팡,0,0,0.0,,2026-02-26 10:56,
77.0,https://www.coupang.com/vp/products/8849748058,le,"아이디어패드 슬림5 14akp10, r5 340",1,1050000,1105000.0,r5 340,24,dual,2,1,14.0,8,5,139,60,oled,4,7.06,8.5,0.5,8.0,쿠팡,0,0,0.0,,2026-02-26 11:04,
74.0,https://www.coupang.com/vp/products/8660625625,le,"아이디어패드 슬림5 14akp10, r5 350",1,1180000,1861500.0,r5 350,32,dual,2,1,14.0,8,5,139,60,oled,6,7.06,8.5,0.5,8.0,쿠팡,0,0,0.0,,2026-02-26 11:13,
33.0,https://www.coupang.com/vp/products/8898341424,le,"아이디어패드 슬림5 14iah10, u5 225h",1,1000000,1399800.0,u5 225h,24,dual,2,0,14.0,8,5,139,60,oled,6,7.06,8.5,0.5,8.0,쿠팡,0,0,0.0,,2026-02-26 11:22,
43.0,https://www.coupang.com/vp/products/7972993772,le,"아이디어패드 슬림5 14IMH, u5 125h",1,780000,1299000.0,u5 125h,16,dual,2,0,14.0,6,5,146,57,ips,6,6.51,8.75,0.0,8.75,쿠팡,0,0,0.0,,2026-02-26 11:31,
48.0,https://www.coupang.com/vp/products/8575125776,le,"아이디어패드 슬림5 15arp10, r7 7735hs",1,780000,1525800.0,r7 7735hs,16,dual,2,0,15.3,6,5,157,70,ips,5,6.83,10.25,0.75,9.5,쿠팡,0,0,0.0,,2026-02-26 11:40,
80.0,https://www.coupang.com/vp/products/8898526670,le,"아이디어패드 슬림5 16akp10, r5 340",1,1150000,1369000.0,r5 340,24,dual,2,0,16.0,9,8,169,60,oled,4,6.0,10.0,2.0,8.0,쿠팡,0,0,0.0,,2026-02-26 11:48,
58.0,https://www.coupang.com/vp/products/8670201542,le,"아이디어패드 슬림5 16akp10, r7 350",1,1280000,1549000.0,r7 350,32,dual,2,1,16.0,9,8,169,60,oled,6,6.0,10.0,2.0,8.0,쿠팡,0,0,0.0,,2026-02-26 11:57,
41.0,https://www.coupang.com/vp/products/8883152949,le,"아이디어패드 슬림5 16iah10, u5 225h",1,1100000,1373610.0,u5 225h,24,dual,2,0,16.0,9,8,169,60,oled,6,6.0,10.0,2.0,8.0,쿠팡,0,0,0.0,,2026-02-26 12:06,
17.0,https://www.coupang.com/vp/products/8883267474,le,"아이디어패드 슬림5 16iah10, u7 255h",1,1220000,1349000.0,u7 255h,24,dual,2,0,16.0,9,8,169,60,oled,7,6.0,10.0,2.0,8.0,쿠팡,0,0,0.0,,2026-02-26 12:15,
75.0,https://www.coupang.com/vp/products/8847714479,le,"아이디어패드 슬림5 2in1 16akp10, r5 350",1,1250000,1449000.0,r5 350,16,onboard,2,1,16.0,9,7,190,57,oled,6,5.7,10.0,2.0,8.0,쿠팡,0,0,0.0,,2026-02-26 12:23,
56.0,https://www.coupang.com/vp/products/8883315581,le,"요가 7 2in1 14akp10, r7 350",1,1450000,1568000.0,r7 350,32,onboard,2,1,14.0,8,8,138,70,oled,6,7.57,9.25,1.25,8.0,쿠팡,1,0,0.0,,2026-02-26 12:32,
