id,link,brand,name,variant,price_reference,price_current,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,weight,battery,screen_type,graphic,battery_time,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,last_update
13,https://www.coupang.com/vp/products/8952675279?itemId=26188749438&vendorItemId=93168174673,hp,"¿È´ÏºÏ 5 16, u7 255u",1,830000,,u7 255u,32,onboard,2,1,16,3,5,177,59,ips,7,7.15,8.25,0.75,7.5,ÄíÆÎ,0,0,0,,
76,https://www.coupang.com/vp/products/8740557641?itemId=25402248933&vendorItemId=92395806929,hp,"¿È´ÏºÏ 5 nagi 16, r5 340",1,730000,,r5 340,16,onboard,2,1,16,3,5,179,43,ips,4,4.91,8.75,0.75,8,ÄíÆÎ,0,0,0,,
78,https://www.coupang.com/vp/products/8734683667,hp,"¿È´ÏºÏ 7 ¿¡¾î·Î 13, r5 340",1,1000000,,r5 340,16,onboard,2,1,13.3,6,7,99,43,ips,4,4.91,8.75,0.75,8,ÄíÆÎ,0,0,0,,
62,https://www.coupang.com/vp/products/9126828332,hp,"¿È´ÏºÏ 7 ¿¡¾î·Î 13, r5 8640u",1,870000,,r5 8640u,16,onboard,1,0,13.3,6,5,99,43,ips,5,5.21,8.25,0,8.25,ÄíÆÎ,0,0,0,,
53,https://www.coupang.com/vp/products/8743114968?itemId=25409271495&vendorItemId=92402704438,hp,"¿È´ÏºÏ 7 ¿¡¾î·Î 13, r7 350",1,1250000,,r7 350,32,onboard,2,1,13,6,6,99,43,ips,6,5.38,8,0,8,ÄíÆÎ,0,0,0,,
59,https://www.coupang.com/vp/products/8721859355?itemId=25335208306&vendorItemId=92329958394,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, r7 340 ips",1,900000,,r5 340,16,onboard,2,1,14,3,5,141,59,ips,4,7.38,8,0,8,ÄíÆÎ,1,0,1,,
60,https://www.coupang.com/vp/products/8688208941?itemId=25224312267&vendorItemId=92220619670,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, r7 340 oled",1,1200000,,r5 340,16,onboard,2,1,14,8,8,141,59,oled,4,6.38,9.25,1.25,8,ÄíÆÎ,1,0,1,,
55,https://www.coupang.com/vp/products/8688208941?itemId=25224312267&vendorItemId=92220619670,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, r7 350 oled",1,1430000,,r7 350,32,onboard,4,1,14,8,8,141,59,oled,6,6.38,9.25,1.25,8,ÄíÆÎ,1,0,1,,
23,https://www.coupang.com/vp/products/8847574516?itemId=25515379290&vendorItemId=92507314479,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, u5 226v ips",1,1000000,,u5 226v,16,onboard,2,1,14,3,5,139,59,ips,6,9.83,6,0,6,ÄíÆÎ,1,0,1,,
26,https://www.coupang.com/vp/products/8734831107,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, u5 226v oled",1,1300000,,u5 226v,16,onboard,2,1,14,8,8,139,59,oled,6,8.14,7.25,1.25,6,ÄíÆÎ,1,0,1,,
12,https://www.coupang.com/vp/products/8941646336?itemId=26149113277&vendorItemId=93129106561,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, u7 256v oled",1,1350000,,u7 256v,32,onboard,2,1,14,8,8,139,59,oled,7,8.14,7.25,1.25,6,ÄíÆÎ,1,0,1,,
